Frequency (Hz)	Level (dB)
1640.625000	-74.771103
1646.484375	-76.187965
1652.343750	-78.210724
1658.203125	-81.070747
1664.062500	-81.370445
1669.921875	-80.396339
1675.781250	-78.047211
1681.640625	-74.483536
1687.500000	-72.075096
1693.359375	-72.459732
1699.218750	-73.476112
1705.078125	-73.655960
1710.937500	-73.414742
1716.796875	-73.702705
1722.656250	-77.310692
1728.515625	-76.806412
1734.375000	-74.185783
1740.234375	-70.691780
1746.093750	-68.571861
1751.953125	-66.610237
1757.812500	-59.747467
1763.671875	-47.572659
1769.531250	-38.772774
1775.390625	-39.020439
1781.250000	-47.886547
1787.109375	-52.332813
1792.968750	-55.534821
1798.828125	-68.056755
1804.687500	-69.950478
1810.546875	-70.274193
1816.406250	-74.486397
1822.265625	-75.389580
1828.125000	-76.206238
1833.984375	-78.531998
1839.843750	-79.030533
1845.703125	-76.201744
1851.562500	-74.879860
1857.421875	-75.031006
1863.281250	-76.224358
1869.140625	-76.303802
1875.000000	-74.129639
1880.859375	-72.111099
1886.718750	-73.862839
1892.578125	-76.292618
1898.437500	-80.788406
1904.296875	-83.865913
1910.156250	-86.912888
1916.015625	-82.660950
1921.875000	-78.703728
1927.734375	-78.194748
1933.593750	-77.490494
1939.453125	-75.423897
1945.312500	-74.972496
1951.171875	-78.316772
1957.031250	-78.316330
1962.890625	-76.482018
1968.750000	-75.816154
1974.609375	-79.003052
1980.468750	-83.760452
1986.328125	-81.302452
1992.187500	-82.035057
1998.046875	-81.715935
2003.906250	-81.507011
2009.765625	-83.166451
2015.625000	-83.709755
2021.484375	-82.688995
2027.343750	-81.990021
2033.203125	-81.472710
2039.062500	-80.014938
2044.921875	-81.441757
2050.781250	-83.964188
2056.640625	-82.273903
2062.500000	-82.137718
2068.359375	-85.185448
2074.218750	-83.794373
2080.078125	-80.339493
2085.937500	-79.518082
2091.796875	-82.264435
2097.656250	-82.526428
2103.515625	-80.598717
2109.375000	-78.128571
2115.234375	-79.260414
2121.093750	-80.049507
2126.953125	-81.831566
2132.812500	-81.222145
2138.671875	-80.701576
2144.531250	-83.440598
2150.390625	-82.821747
2156.250000	-78.763191
2162.109375	-78.292793
2167.968750	-77.283646
2173.828125	-75.041756
2179.687500	-73.191490
2185.546875	-72.633904
2191.406250	-67.929329
2197.265625	-61.399311
2203.125000	-48.213100
2208.984375	-34.158352
2214.843750	-31.709631
2220.703125	-37.064026
2226.562500	-42.308651
2232.421875	-42.787842
2238.281250	-43.661270
2244.140625	-52.553497
2250.000000	-70.511894
2255.859375	-70.170433
2261.718750	-74.560379
2267.578125	-79.081940
2273.437500	-76.902985
2279.296875	-76.637848
2285.156250	-76.976326
2291.015625	-77.889061
2296.875000	-76.885056
2302.734375	-74.958282
2308.593750	-73.273064
2314.453125	-73.580116
2320.312500	-72.851799
2326.171875	-71.458138
2332.031250	-71.842422
2337.890625	-69.762955
2343.750000	-69.665710
2349.609375	-69.328018
2355.468750	-69.148926
2361.328125	-69.742104
2367.187500	-70.595604
2373.046875	-70.264732
2378.906250	-71.150703
2384.765625	-73.637184
2390.625000	-73.292175
2396.484375	-71.386612
2402.343750	-70.576424
2408.203125	-73.576469
2414.062500	-73.891296
2419.921875	-75.183350
2425.781250	-76.144173
2431.640625	-75.804245
2437.500000	-78.016533
2443.359375	-75.532402
2449.218750	-75.571655
2455.078125	-78.871742
2460.937500	-81.330276
2466.796875	-81.444527
2472.656250	-82.762596
2478.515625	-80.198647
2484.375000	-78.628143
2490.234375	-78.562469
2496.093750	-77.785194
2501.953125	-77.303902
2507.812500	-77.494133
2513.671875	-75.784348
2519.531250	-75.320091
2525.390625	-73.479683
2531.250000	-73.437439
2537.109375	-74.963310
2542.968750	-72.860085
2548.828125	-71.713875
2554.687500	-72.790924
2560.546875	-74.076256
2566.406250	-73.800957
2572.265625	-72.367615
2578.125000	-71.971626
2583.984375	-75.577843
2589.843750	-76.670776
2595.703125	-73.556801
2601.562500	-72.698425
2607.421875	-72.874428
2613.281250	-70.405045
2619.140625	-71.402145
2625.000000	-69.484268
2630.859375	-65.805595
2636.718750	-65.300110
2642.578125	-57.891262
2648.437500	-39.393684
2654.296875	-30.604599
2660.156250	-30.563385
