Frequency (Hz)	Level (dB)
1512.707520	-75.020432
1518.090820	-72.499016
1523.474121	-70.729095
1528.857422	-68.472305
1534.240723	-68.714767
1539.624023	-70.339600
1545.007324	-69.677658
1550.390625	-65.407402
1555.773926	-64.394394
1561.157227	-66.453575
1566.540527	-60.300060
1571.923828	-57.034210
1577.307129	-61.418388
1582.690430	-69.411430
1588.073730	-69.171227
1593.457031	-67.381165
1598.840332	-65.968224
1604.223633	-66.939476
1609.606934	-69.319527
1614.990234	-69.639091
1620.373535	-69.913055
1625.756836	-69.423523
1631.140137	-71.209084
1636.523438	-70.237297
1641.906738	-70.917702
1647.290039	-71.594818
1652.673340	-72.143402
1658.056641	-72.057350
1663.439941	-73.589226
1668.823242	-74.423782
1674.206543	-75.260399
1679.589844	-74.417458
1684.973145	-72.940704
1690.356445	-73.034645
1695.739746	-73.767166
1701.123047	-73.752235
1706.506348	-74.004951
1711.889648	-73.073753
1717.272949	-73.832085
1722.656250	-74.186005
1728.039551	-72.046570
1733.422852	-73.369591
1738.806152	-73.048759
1744.189453	-71.768410
1749.572754	-68.493027
1754.956055	-58.086761
1760.339355	-44.472542
1765.722656	-38.629490
1771.105957	-35.324051
1776.489258	-37.637951
1781.872559	-49.625717
1787.255859	-69.684700
1792.639160	-74.122963
1798.022461	-78.327812
1803.405762	-79.153831
1808.789062	-73.774078
1814.172363	-70.915596
1819.555664	-75.901779
1824.938965	-82.700974
1830.322266	-82.598038
1835.705566	-79.931213
1841.088867	-79.133163
1846.472168	-80.133217
1851.855469	-81.717690
1857.238770	-80.203415
1862.622070	-78.396324
1868.005371	-78.142250
1873.388672	-76.204399
1878.771973	-76.061836
1884.155273	-75.375023
1889.538574	-75.541855
1894.921875	-72.970100
1900.305176	-74.081825
1905.688477	-77.502975
1911.071777	-73.474220
1916.455078	-68.897629
1921.838379	-70.765930
1927.221680	-72.081604
1932.604980	-72.036140
1937.988281	-71.124313
1943.371582	-69.656906
1948.754883	-69.429932
1954.138184	-69.865356
1959.521484	-67.689796
1964.904785	-65.940681
1970.288086	-67.010544
1975.671387	-68.316406
1981.054688	-68.613922
1986.437988	-68.719009
1991.821289	-70.834946
1997.204590	-70.856956
2002.587891	-72.598396
2007.971191	-67.829613
2013.354492	-63.964882
2018.737793	-65.756912
2024.121094	-72.368629
2029.504395	-75.088310
2034.887695	-74.370293
2040.270996	-72.116302
2045.654297	-71.432709
2051.037598	-71.665466
2056.420898	-71.971626
2061.804199	-72.873894
2067.187500	-71.911644
2072.570801	-73.376350
2077.954102	-74.035912
2083.337402	-74.381660
2088.720703	-75.381828
2094.104004	-74.985100
2099.487305	-75.026764
2104.870605	-74.025314
2110.253906	-75.146187
2115.637207	-76.433647
2121.020508	-75.101234
2126.403809	-75.163513
2131.787109	-74.940010
2137.170410	-74.727615
2142.553711	-74.509911
2147.937012	-74.218628
2153.320312	-75.331871
2158.703613	-74.862732
2164.086914	-73.993370
2169.470215	-73.249016
2174.853516	-75.716698
2180.236816	-68.031914
2185.620117	-70.004906
2191.003418	-63.730350
2196.386719	-49.783894
2201.770020	-38.592548
2207.153320	-34.941544
2212.536621	-32.794525
2217.919922	-32.936314
2223.303223	-39.792110
2228.686523	-57.813995
2234.069824	-62.433327
2239.453125	-67.016907
2244.836426	-67.389977
2250.219727	-66.875572
2255.603027	-65.564407
2260.986328	-68.767433
2266.369629	-70.086708
2271.752930	-70.621986
2277.136230	-71.884430
2282.519531	-70.559296
2287.902832	-69.857040
2293.286133	-71.524185
2298.669434	-72.018684
2304.052734	-70.629967
2309.436035	-69.735260
2314.819336	-68.786942
2320.202637	-69.399483
2325.585938	-70.472542
2330.969238	-70.958580
2336.352539	-68.199623
2341.735840	-69.178444
2347.119141	-71.302368
2352.502441	-70.610687
2357.885742	-69.174713
2363.269043	-69.005386
2368.652344	-70.077660
2374.035645	-68.690285
2379.418945	-68.777550
2384.802246	-68.564583
2390.185547	-68.684258
2395.568848	-69.950630
2400.952148	-69.058174
2406.335449	-68.783264
2411.718750	-69.121445
2417.102051	-70.112518
2422.485352	-69.080978
2427.868652	-68.030312
2433.251953	-68.803032
2438.635254	-66.638626
2444.018555	-66.997421
2449.401855	-66.779869
2454.785156	-66.117332
2460.168457	-67.579025
2465.551758	-69.808167
2470.935059	-70.541389
2476.318359	-68.717873
2481.701660	-67.588112
2487.084961	-68.541580
2492.468262	-69.700333
2497.851562	-70.558624
2503.234863	-71.363930
2508.618164	-69.298935
2514.001465	-70.197014
2519.384766	-71.956619
2524.768066	-71.055946
2530.151367	-71.091400
2535.534668	-72.288910
2540.917969	-71.728569
2546.301270	-70.923569
2551.684570	-70.028175
2557.067871	-72.441422
2562.451172	-73.569481
2567.834473	-73.120171
2573.217773	-72.837807
2578.601074	-71.756889
2583.984375	-72.179993
2589.367676	-72.231087
2594.750977	-72.806587
2600.134277	-73.090782
2605.517578	-72.963867
2610.900879	-72.546638
2616.284180	-74.189140
2621.667480	-67.434364
2627.050781	-67.459862
2632.434082	-64.823776
2637.817383	-53.973778
2643.200684	-43.022518
2648.583984	-39.997047
2653.967285	-37.337070
2659.350586	-36.336960
2664.733887	-39.966152
2670.117188	-53.330166
2675.500488	-65.634026
2680.883789	-70.783890
2686.267090	-73.469360
2691.650391	-70.640144
2697.033691	-70.706711
2702.416992	-70.882950
2707.800293	-72.030548
2713.183594	-71.831787
2718.566895	-72.675636
2723.950195	-73.711327
2729.333496	-73.111336
2734.716797	-72.415573
2740.100098	-73.487816
2745.483398	-71.944229
2750.866699	-71.278221
2756.250000	-71.916481
2761.633301	-70.776611
2767.016602	-70.153503
2772.399902	-71.680077
2777.783203	-72.500793
2783.166504	-71.400673
2788.549805	-71.776138
2793.933105	-72.779968
2799.316406	-73.485016
2804.699707	-73.172180
2810.083008	-71.941216
2815.466309	-71.556351
2820.849609	-71.435570
2826.232910	-72.199135
2831.616211	-72.615242
2836.999512	-71.848930
2842.382812	-72.214806
2847.766113	-71.352974
2853.149414	-70.207573
2858.532715	-70.735168
2863.916016	-70.976357
2869.299316	-68.990395
2874.682617	-68.904594
2880.065918	-66.980537
2885.449219	-64.719353
2890.832520	-66.335197
2896.215820	-68.357475
2901.599121	-69.736633
2906.982422	-70.536789
2912.365723	-71.647072
2917.749023	-70.873268
2923.132324	-71.455879
2928.515625	-71.086830
2933.898926	-71.873550
2939.282227	-73.718369
2944.665527	-74.408157
2950.048828	-70.461739
2955.432129	-68.513405
2960.815430	-71.431877
2966.198730	-71.454849
2971.582031	-69.787567
2976.965332	-71.997482
2982.348633	-73.242546
2987.731934	-71.480934
2993.115234	-72.676468
2998.498535	-70.751221
3003.881836	-73.811569
3009.265137	-77.154640
3014.648438	-75.278091
3020.031738	-73.514229
3025.415039	-71.649345
3030.798340	-74.208847
3036.181641	-73.159378
3041.564941	-74.503380
3046.948242	-74.168579
3052.331543	-72.571220
3057.714844	-71.909218
3063.098145	-70.603279
3068.481445	-67.877304
3073.864746	-66.674500
