Frequency (Hz)	Level (dB)
1512.707520	-73.590790
1518.090820	-76.313263
1523.474121	-76.059471
1528.857422	-87.952179
1534.240723	-72.470078
1539.624023	-71.017616
1545.007324	-73.964516
1550.390625	-79.208389
1555.773926	-83.686264
1561.157227	-72.811852
1566.540527	-68.806007
1571.923828	-68.173035
1577.307129	-70.695892
1582.690430	-81.945343
1588.073730	-80.206490
1593.457031	-81.200447
1598.840332	-78.742821
1604.223633	-81.614029
1609.606934	-76.301064
1614.990234	-69.949379
1620.373535	-65.840149
1625.756836	-63.766407
1631.140137	-65.204277
1636.523438	-59.206909
1641.906738	-52.881485
1647.290039	-43.283169
1652.673340	-43.104694
1658.056641	-55.066845
1663.439941	-62.773529
1668.823242	-67.957016
1674.206543	-64.742325
1679.589844	-64.272858
1684.973145	-69.499939
1690.356445	-76.060265
1695.739746	-85.219833
1701.123047	-77.715508
1706.506348	-78.145302
1711.889648	-79.032051
1717.272949	-84.564568
1722.656250	-82.758385
1728.039551	-75.822662
1733.422852	-71.798538
1738.806152	-72.861885
1744.189453	-77.691360
1749.572754	-84.624168
1754.956055	-79.114746
1760.339355	-78.973808
1765.722656	-83.332848
1771.105957	-81.187424
1776.489258	-78.055527
1781.872559	-77.240730
1787.255859	-84.118820
1792.639160	-86.698097
1798.022461	-80.605019
1803.405762	-72.761024
1808.789062	-74.714256
1814.172363	-79.693710
1819.555664	-77.367043
1824.938965	-76.857887
1830.322266	-76.944786
1835.705566	-75.951447
1841.088867	-66.701584
1846.472168	-67.290123
1851.855469	-74.406525
1857.238770	-75.295288
1862.622070	-69.438606
1868.005371	-66.665733
1873.388672	-66.679543
1878.771973	-71.538567
1884.155273	-65.887337
1889.538574	-70.143608
1894.921875	-65.890709
1900.305176	-64.295494
1905.688477	-66.321571
1911.071777	-66.460480
1916.455078	-61.704178
1921.838379	-67.342613
1927.221680	-62.938934
1932.604980	-58.860252
1937.988281	-59.216179
1943.371582	-64.371841
1948.754883	-63.519398
1954.138184	-67.400345
1959.521484	-59.742142
1964.904785	-61.091343
1970.288086	-47.477959
1975.671387	-27.744394
1981.054688	-22.933313
1986.437988	-28.909451
1991.821289	-44.186474
1997.204590	-54.446606
2002.587891	-54.618279
2007.971191	-62.154877
2013.354492	-67.961914
2018.737793	-60.828365
2024.121094	-60.561447
2029.504395	-69.936691
2034.887695	-71.064125
2040.270996	-78.015251
2045.654297	-73.336990
2051.037598	-69.857986
2056.420898	-70.753189
2061.804199	-71.534683
2067.187500	-69.010551
2072.570801	-72.557518
2077.954102	-73.247749
2083.337402	-71.332855
2088.720703	-72.082558
2094.104004	-74.433311
2099.487305	-76.853401
2104.870605	-87.605560
2110.253906	-83.492485
2115.637207	-80.922546
2121.020508	-78.244247
2126.403809	-79.910866
2131.787109	-81.576797
2137.170410	-72.754601
2142.553711	-72.135429
2147.937012	-75.530243
2153.320312	-73.973480
2158.703613	-71.281944
2164.086914	-74.884644
2169.470215	-78.761345
2174.853516	-85.772766
2180.236816	-85.901810
2185.620117	-74.354324
2191.003418	-74.284050
2196.386719	-82.239502
2201.770020	-82.074272
2207.153320	-76.307144
2212.536621	-72.543304
2217.919922	-70.509834
2223.303223	-68.455536
2228.686523	-67.768593
2234.069824	-73.498848
2239.453125	-72.723473
2244.836426	-68.009422
2250.219727	-75.557106
2255.603027	-72.220200
2260.986328	-82.580742
2266.369629	-79.994781
2271.752930	-68.724930
2277.136230	-74.042206
2282.519531	-71.320557
2287.902832	-71.847847
2293.286133	-63.884701
2298.669434	-54.027241
2304.052734	-39.186562
2309.436035	-27.751865
2314.819336	-27.669500
2320.202637	-39.493977
2325.585938	-52.269661
2330.969238	-61.033035
2336.352539	-71.191521
2341.735840	-68.333786
2347.119141	-68.241737
2352.502441	-73.790558
2357.885742	-75.797157
2363.269043	-78.249947
2368.652344	-83.775635
2374.035645	-81.904297
